business_name,address,phone,email,contact_name,city,category,source_url,search_query
Memphis Commercial Appeal,,,,,Vero Beach,commercial kitchen,https://enewspaper.commercialappeal.com/?r=splash,
Memphis Business News,,,,,Vero Beach,commercial kitchen,https://www.commercialappeal.com/business/,
yelp,,,,,Fort Pierce,restaurant,https://www.yelp.com/nearme/restaurants,
Restaurants and Restaurant Bookings | OpenTable,,,,,Fort Pierce,restaurant,https://www.opentable.com/,
Memphis Commercial Appeal,,,,,Fort Pierce,commercial kitchen,https://enewspaper.commercialappeal.com/?r=splash,
The Commercial Appeal eNewspaper,,,,,Fort Pierce,commercial kitchen,https://enewspaper.commercialappeal.com/?cnum=087f96eb-0b98-e611-b81c-90b11c341ce0&fod=1111111STD-0&selDate=20230214&licenseType=paid_subscriber,
Memphis Business News,,,,,Fort Pierce,commercial kitchen,https://www.commercialappeal.com/business/,
yelp,,,,,Palm City,restaurant,https://www.yelp.com/nearme/restaurants,
Restaurants and Restaurant Bookings | OpenTable,,,,,Palm City,restaurant,https://www.opentable.com/,
Memphis Commercial Appeal,,,,,Palm City,commercial kitchen,https://enewspaper.commercialappeal.com/?r=splash,
The Commercial Appeal eNewspaper,,,,,Palm City,commercial kitchen,https://enewspaper.commercialappeal.com/?cnum=087f96eb-0b98-e611-b81c-90b11c341ce0&fod=1111111STD-0&selDate=20230214&licenseType=paid_subscriber,
Memphis Business News,,,,,Palm City,commercial kitchen,https://www.commercialappeal.com/business/,
Memphis Commercial Appeal,,,,,Hobe Sound,commercial kitchen,https://enewspaper.commercialappeal.com/?r=splash,
The Commercial Appeal eNewspaper,,,,,Hobe Sound,commercial kitchen,https://enewspaper.commercialappeal.com/?cnum=087f96eb-0b98-e611-b81c-90b11c341ce0&fod=1111111STD-0&selDate=20230214&licenseType=paid_subscriber,
Memphis Business News,,,,,Hobe Sound,commercial kitchen,https://www.commercialappeal.com/business/,
THE 10 BEST Restaurants in Sebastian,,,,,Sebastian,restaurant,https://www.tripadvisor.com/Restaurants-g34625-Sebastian_Florida.html,
yelp,,,,,Sebastian,restaurant,https://www.yelp.com/nearme/restaurants,
"THE 15 BEST Restaurants in Sebastian, FL",,,,,Sebastian,restaurant,https://www.restaurantji.com/fl/sebastian/,
Restaurants and Restaurant Bookings | OpenTable,,,,,Sebastian,restaurant,https://www.opentable.com/,
"The Best 10 Restaurants near Sebastian, FL 32958",,,,,Sebastian,restaurant,https://www.yelp.com/search?cflt=restaurants&find_loc=Sebastian%2C+FL+32958&msockid=01ab3dbcfc496cbc1ec42aa4fd9e6d14,
Memphis Commercial Appeal,,,,,Sebastian,commercial kitchen,https://enewspaper.commercialappeal.com/?r=splash,
The Commercial Appeal eNewspaper,,,,,Sebastian,commercial kitchen,https://enewspaper.commercialappeal.com/?cnum=087f96eb-0b98-e611-b81c-90b11c341ce0&fod=1111111STD-0&selDate=20230214&licenseType=paid_subscriber,
Memphis Business News,,,,,Sebastian,commercial kitchen,https://www.commercialappeal.com/business/,
