Business Name,Contact Name,Phone,Email,Website,Address,Notes,Date Found
"Wallace Chevrolet","N/A","772-266-0687","sales@wallacechevrolet.com","https://www.wallacechevrolet.com/","3575 SE Federal Hwy, Stuart, FL 34997","Treasure Coast's premier Chevrolet dealership - Large inventory of new and used vehicles with service department. Service floors need epoxy for oil resistance, chemical spills, durability, and professional appearance in service bays and workshops.","2026-02-27"
"Coggin Acura","N/A","772-742-4342","info@cogginacura.com","https://www.cogginacura.com/","4400 S US Highway 1, Fort Pierce, FL 34982","Acura dealership serving Fort Pierce, Port St. Lucie, Jupiter, Vero Beach - Premier automotive dealership with service department. Service floors need epoxy for durability, oil resistance, and professional appearance.","2026-02-27"
"Vero Machine Industries","N/A","772-589-5808","info@veromachine.com","N/A","5400 85th Street, Vero Beach, FL 32967","Contract manufacturing facility - Precision machining and fabrication services. Manufacturing floors need epoxy for durability, chemical resistance (oils, coolants), and easy maintenance in high-traffic production areas.","2026-02-27"
"Treasure Coast Food Bank","N/A","772-489-3034","info@tcfoodbank.org","https://stophunger.org/","401 Angle Road, Fort Pierce, FL 34947","Food distribution center - 35,000 sq ft distribution center and state-of-the-art production kitchen in Fort Pierce. Floors need epoxy for durability, chemical resistance, food safety compliance, and easy maintenance in high-traffic food handling areas.","2026-02-27"
"Dyer Chevrolet Fort Pierce","N/A","772-242-7827","sales@dyerchevyftpierce.com","https://www.dyerchevyftpierce.com/","4200 S US Highway 1, Fort Pierce, FL 34982","Chevrolet dealership serving Fort Pierce, Port St. Lucie, Vero Beach, and surrounding areas. Service department floors need epoxy for oil resistance, chemical spills, durability, and professional appearance.","2026-02-27"
"Nylacarb Corporation","N/A","772-569-5999","innovate@nylacarb.com","https://nylacarb.com/","1725 98th Avenue, Vero Beach, FL 32966","Custom plastic injection molding - Family-owned since 1987, manufacturing precision plastic components for various industries. Manufacturing facility floors need epoxy for chemical resistance (plastics, additives), durability, and easy maintenance.","2026-02-27"
"Jensen Beach Technologies","N/A","772-266-4015","N/A","https://jensenbeachtechnologies.com/","3805 N.E. Indian River Drive, Jensen Beach, FL 34957","Rugged industrial and commercial server manufacturer - Designs and manufactures custom and semi-custom rugged computing solutions for mission-critical environments in military, aerospace, and defense industries. Manufacturing facility floors need epoxy for chemical resistance, static control, and durability in high-precision electronics manufacturing.","2026-02-27"
"Raw Athletic Club","N/A","772-732-6154","N/A","https://rawathletic.club/","838 SW Federal Hwy, Stuart, FL 34994","Premium 24/7 fitness center - 25,000 sq ft facility with full gym, cardio equipment, turf field, personal training, smoothie bar, supplement shop, saunas. Gym floors need epoxy for durability, chemical resistance (sweat, cleaning chemicals), and professional appearance.","2026-02-27"
"HCA Florida Lawnwood Hospital","N/A","772-461-4000","N/A","https://www.hcafloridahealthcare.com/","1700 S 23rd St, Fort Pierce, FL 34950","365-bed regional hospital - Level II Trauma Center, Heart Institute, Stroke Center, Level III NICU, 24/7 emergency care and pediatric ER. Hospital floors need epoxy for durability, chemical resistance (cleaning agents, spills), infection control, and easy maintenance.","2026-02-27"
"Hutchinson Shores Resort & Spa","N/A","772-334-1950","N/A","https://www.hutchinsonshores.com/","3793 NE Ocean Blvd, Jensen Beach, FL 34957","Luxury resort on Jensen Beach - Part of Opal Collection, oceanfront resort with private beach access, spa, restaurant, meeting facilities. Resort floors need epoxy for durability, chemical resistance (pool chemicals, cleaning agents), and high-end appearance.","2026-02-27"
"TAMCO Group","N/A","772.878.4944","customer.service@tamcogroup.com","https://tamcogroup.com/","11675 SW Tom Mackie Blvd, Port Saint Lucie, FL 34987","Lighting and electrical product manufacturer - 411,000 sq ft fulfillment and manufacturing facility producing products under eight brands. Largest privately operated facility in Port St. Lucie. Manufacturing floors need epoxy for chemical resistance, durability, and professional appearance.","2026-02-27"
"Accel International Holdings","Melissa St. Pierre (VP of Sales)","866.262.2235","mstpierre@accelinternational.com","https://accelinternational.com/","Port St. Lucie, FL 34987","High-performance conductor manufacturer - 150,000 sq ft advanced manufacturing facility producing silver-plated copper, nickel-plated copper, tin-plated copper, copper alloys, flat wire, and ultra fine wire. 125 new jobs, $55 million investment. Manufacturing floors need epoxy for chemical resistance and durability.","2026-02-27"
"ROSS Mixing Inc.","John Paterson (VP & GM)","772-337-0900","sales@rossmixing.com","https://www.mixers.com/","1249 SE Industrial Blvd, Port St. Lucie, FL 34952","Industrial mixing equipment manufacturer - 59,000 sq ft plant on 220,000 sq ft property, producing industrial mixing, blending, drying, and dispersion equipment for food, pharmaceutical, medical, chemical, adhesive, and battery industries. 40 employees. Manufacturing floors need epoxy for chemical resistance and durability.","2026-02-27"
"Coggin Honda of Ft. Pierce","N/A","772-577-2585","N/A","https://www.cogginhondaftpierce.com/","4450 S US Hwy 1, Fort Pierce, FL 34982","Honda dealership - Serving Fort Pierce, Port St. Lucie, Palm Bay, Jupiter, and Vero Beach areas with new and used Honda vehicles, service, and parts. Service department floors need epoxy for oil resistance, chemical spills, durability, and professional appearance.","2026-02-27"
"Johnson Honda of Stuart","Mario Castillo (General Manager)","772-600-4342","mcastillo@johnsonhondaofstuart.com","https://www.johnsonhondaofstuart.com/","4200 SE Federal Hwy, Stuart, FL 34997","Honda dealership - Serving Stuart, Port St. Lucie, and Fort Pierce with new and used Honda vehicles, Honda-certified service center, and parts department. Service floors need epoxy for oil resistance, chemical spills, durability, and professional appearance in service bays.","2026-02-27"
"Treasure Coast Square Mall","N/A","772-692-9401","N/A","https://www.treasurecoastsquare.com/","3174 NW Federal Hwy, Jensen Beach, FL 34957","Regional shopping mall - Large indoor mall featuring 80+ quality retailers including Dillard's, Macy's, JCPenney, over a dozen dining options, and Regal Cinemas with recliner seating. Mall floors need epoxy for durability, chemical resistance, and professional appearance in high-traffic common areas.","2026-02-27"
"Amazon Fulfillment Center DFH7","N/A","N/A","N/A","https://www.amazon.com/","13450 SW Anthony F. Sansone Sr. Blvd, Port St. Lucie, FL 34987","Massive 1.1 million-square-foot fulfillment center - First-mile warehouse facility near Midway Road and I-95. Brings 1,000 full-time jobs to area. Warehouse floors need epoxy for durability, heavy equipment traffic, and maintenance of high-traffic areas.","2026-02-27"
"Amazon Delivery Station (Legacy Park)","N/A","N/A","N/A","https://www.amazon.com/","Legacy Park at Tradition, Port St. Lucie, FL","220,000-square-foot delivery station - Third Amazon facility in St. Lucie County, located in Legacy Park in Tradition business park. Plans to hire 200 full-time jobs. Warehouse floors need epoxy for durability and high-traffic package handling.","2026-02-27"
"INKAS USA, Inc.","David Khazanski (CEO)","N/A","N/A","https://inkas.ca/","3500 Enterprise Road, Fort Pierce, FL 34946","Armored vehicle manufacturing - $18.75 million manufacturing facility renovating existing 59,332-square-foot building and adding 20,000-30,000 sq ft of new space. Hiring 294 people over 5 years. Manufacturing floors need epoxy for durability, chemical resistance, and heavy equipment support.","2026-02-27"
"Contender Boats, Inc.","N/A","1-800-645-2906","marketing@contenderboats.com","https://contenderboats.com/","5701 Environment Drive, Fort Pierce, FL 34981","Semi-custom boat manufacturing - 100,000 SF industrial warehouse facility purchased for $5.5 million. Building center console boats. Manufacturing floors need epoxy for chemical resistance (resins, fiberglass), durability, and easy maintenance.","2026-02-27"
"Graph-Tech USA","Markus Portmann (President)","(772) 569-0066","sales@graphtech.us","https://graphtech.us/","3200 North Kings Highway, Ft. Pierce, FL 34951","Industrial inkjet printing systems manufacturing - Leading provider of industrial inkjet printers and magnetic encoding systems for cards, lottery, mailing, and packaging industries. Manufacturing floors need epoxy for chemical resistance, durability, and professional appearance.","2026-02-27"
"A-1 Industries of Florida, Inc.","John Herring (Chairman/CEO), Jan S. Beck (President)","(772) 409-1010","N/A","https://a1industries.com/","4451 St. Lucie Blvd, Fort Pierce, FL 34946","Premier roof truss manufacturer - Facilities cover over 8 acres on 140 acres with room to grow. Uses state-of-the-art automation and proprietary software. Top 5% in single-site production. Manufacturing floors need epoxy for durability, chemical resistance, and heavy equipment traffic.","2026-02-27"
"Booth Manufacturing Company","N/A","N/A","N/A","N/A","3101 Industrial Avenue 2, Fort Pierce, FL 34946","Laser cutting and metal fabrication - 30 employees, $8.20 million in sales. Manufactures citrus packing equipment, laser cutting, and metal fabrication services. Manufacturing floors need epoxy for durability, chemical resistance (metalworking fluids), and easy maintenance.","2026-02-27"
"Aluma Tower Company, Inc.","N/A","(772) 567-3423","info@alumatower.com","https://www.alumatower.com/","1639 Old Dixie Highway, Vero Beach, FL 32960","Lightweight aluminum tower manufacturing - Leading manufacturer of mobile and portable aluminum towers for government agencies, industry, and environmentalists. Founded in 1973. Manufacturing facility at 7750 9th St SW, Vero Beach, FL 32968. Manufacturing floors need epoxy for durability, chemical resistance, and professional appearance.","2026-02-27"
"Unis Logistics","N/A","N/A","N/A","https://www.unisco.com/","Port St. Lucie, FL 34986, 34984, 34983, 34987","Warehousing and distribution center - Provides advanced warehouse solutions with WMS integration, cross-docking, fulfillment services. Serving businesses throughout Treasure Coast area. Distribution center floors need epoxy for durability, heavy equipment traffic, and maintenance of high-traffic areas.","2026-02-27"
"Kings Logistics Center (KLC)","N/A","N/A","N/A","https://www.loopnet.com/Listing/700-S-Kings-Hwy-Fort-Pierce-FL/23203993/","700 S Kings Hwy, Fort Pierce, FL 34945","State-of-the-art 664,176-square-foot Class A cross-dock industrial facility - Developed by Seefried Industrial Properties and USAA Real Estate. Expected to house 430+ workers. Flexible space divisible by 166,000 square feet, ideal for distribution. Industrial floors need epoxy for durability, heavy equipment traffic, and high-traffic operations.","2026-02-27"
"Walmart Distribution Center (DC 7038)","N/A","(772) 467-4500","N/A","https://www.walmart.com/","4001 S Jenkins Rd, Fort Pierce, FL 34981","Large Walmart distribution center - Major distribution facility serving retail stores in region. 24-hour operation handling freight, inventory, and logistics. Distribution floors need epoxy for durability, heavy equipment traffic, and maintenance of high-traffic areas.","2026-02-27"
"Interstate Commerce Center","N/A","N/A","N/A","https://www.icommercecenter.com/","Fort Pierce, FL","Class A distribution warehouse - Latest Class A distribution warehouse located in Fort Pierce, Florida. Strategic location for logistics and distribution operations. Warehouse floors need epoxy for durability, heavy equipment traffic, and professional appearance.","2026-02-27"
"Treasure Coast Airport Industrial","N/A","N/A","N/A","N/A","Treasure Coast International Airport, Fort Pierce, FL","2.2 million square feet industrial site - Mixed-use industrial zoning with manufacturing, warehouse distribution, and MRO facilities. 174 acres immediately adjacent to Treasure Coast International Airport with foreign trade zone and customs onsite. Exceptional truck access to US-1, I-95, SR 70 and Florida Turnpike. Industrial floors need epoxy for durability, chemical resistance, and heavy equipment traffic.","2026-02-27"
"Sunrise Ford","N/A","772-461-6000 (Main), 772-460-3401 (Sales), 772-460-3402 (Service), 772-460-3403 (Parts)","N/A","https://www.sunrise-ford.com/","5435 South U.S. #1, Fort Pierce, FL 34982","Ford dealership with large service center - Serving Fort Pierce and surrounding areas with new and used vehicles, service, and parts. Service department floors need epoxy for durability, oil resistance, chemical spills, and professional appearance in service bays and workshops.","2026-02-27"
"Essential Ford of Stuart","N/A","(772) 287-0955","N/A","https://www.essentialford.com/","4000 SE Federal Highway, Stuart, FL 34997","Ford dealership with large service center - Serving Stuart, Port St. Lucie, and surrounding areas with new and used Ford vehicles, service, and parts. Large service department with multiple service bays. Service floors need epoxy for durability, oil resistance, chemical spills, and professional appearance.","2026-02-27"
"Advanced Machine & Tool, Inc.","Frank Simms (President)","772-465-6XXX","info@amtfl.com","https://amtfl.com/","3900 Selvitz Rd, Fort Pierce, FL 34981","Award-winning manufacturing facility - 40,000 sq ft production facility specializing in precision machining of large-scale and intricate components for power generation, oil & gas, military contracts, and amusement park safety. ISO 9001:2015 / AS9100D:2015 certified. Manufacturing floors need epoxy for durability, chemical resistance (oils, coolants), and professional appearance in high-precision machining environment.","2026-02-27"
"Expert Shutter Services, Inc.","N/A","772-871-1915","info@expertshutters.com","https://www.expertshutters.com/","668 SW Whitmore Dr, Port Saint Lucie, FL 34984","Premier hurricane shutter manufacturer for over 30 years - Manufactures and installs Nautilus Rolling Shutter System and accordion storm shutters. Recognized as South Florida Manufacturer of the Year and Sterling Business in Excellence Award 2020. Manufacturing floors need epoxy for durability, chemical resistance, and professional appearance.","2026-02-27"
"Indian River Select/FreshCo","Pat Schirard (President)","772-595-0070","info@indianriverselect.com","https://indianriverselect.com/","3586 Oleander Ave, Fort Pierce, FL 34982","Contract beverage packer and juice manufacturer - Manufacturing, warehouse, and distribution operations producing Indian River Select brand premium orange and grapefruit juices. Large facility with food processing floors needing epoxy for durability, chemical resistance, food safety compliance, and easy maintenance.","2026-02-27"
"Liberty Tire Recycling","N/A","772-465-0477","N/A","https://libertytire.com/","9675 Range Line Rd, Port Saint Lucie, FL 34987","North America's top tire recycler - Collects and recycles about one-third of the nation's scrap tires into construction materials, athletic surfaces, rubberized asphalt, alternative fuels, and more. Manufacturing facility floors need epoxy for durability, chemical resistance (rubber compounds), and easy maintenance.","2026-02-27"
"Meyer Utility Structures","N/A","N/A","MeyerConcrete@arcosa.com","https://meyerutilitystructures.com/","Midway Road near Selvitz Road, Fort Pierce, FL 34981","Spun concrete transmission pole manufacturer - State-of-the-art 77,750-square-foot manufacturing facility, 4,000-square-foot office, and 461,000 square feet of shell rock laydown yard. Opened late December 2023. Manufacturing floors need epoxy for durability, chemical resistance (concrete), and heavy equipment support.","2026-02-27"
"Natalie's Orchid Island Juice Company","Christine Nichols (International Sales Manager)","772-465-1122","cnichols@oijc.com","https://www.natalies.com/","330 N US Highway 1, Fort Pierce, FL 34950","Premium juice manufacturer - For over 35 years, producing authentic fresh, clean label juices with no concentrates. Women-owned and family-driven company. Manufacturing facility floors need epoxy for durability, chemical resistance, food safety compliance, and professional appearance.","2026-02-27"
"Precast Specialties, LLC","N/A","772-266-5701","sales@precastspecialties.com","https://precastspecialties.com/","3898 Selvitz Road, Fort Pierce, FL 34981","Florida's leading precast and pre-stressed concrete provider - Manufactures structural, utility, and commercial concrete products. Developing partnerships with customers to ensure complete satisfaction. Manufacturing floors need epoxy for durability, chemical resistance (concrete), and professional appearance.","2026-02-27"
"The Porch Factory","N/A","772-465-6772","N/A","https://theporchfactory.com/","705 N 39th St, Fort Pierce, FL 34947","Screen enclosure manufacturer - 7,500 square foot manufacturing facility in heart of Fort Pierce. Designs, manufactures, and installs screen enclosures, patio extensions, glass enclosures, front entryways, railings, and re-screens. Manufacturing floors need epoxy for durability and professional appearance.","2026-02-27"
"Builders FirstSource","N/A","772-468-8111","N/A","https://www.bldr.com","701 S Kings Hwy, Fort Pierce, FL 34945","Nation's largest supplier of building products - Treasure Coast FL Yard manufactures and assembles building materials including wall panels, roof and floor trusses, millwork products (doors, windows, cabinets, counters, vanities, closets). Manufacturing floors need epoxy for durability, chemical resistance, and heavy equipment traffic.","2026-02-27"
"Premier Lab Supply","N/A","772-873-1700","N/A","https://www.premierlabsupply.com/","691 NW Enterprise Dr, Port Saint Lucie, FL 34986","Global manufacturer of XRF sample preparation consumables - Manufacturing and distributing innovative XRF sample preparation consumables, equipment, and platinum labware for over 25 years. Manufacturing facility floors need epoxy for durability, chemical resistance, and professional appearance.","2026-02-27"
"Phoenix Metal Products, Inc.","N/A","772-595-6386","nicole.mcguire@earthlink.net","https://www.phoenixgse.com/","3000 Industrial Ave, Fort Pierce, FL 34946","Airline ground support equipment manufacturer - Worldwide manufacturer of airline and airport ground support equipment including lavatory and water trucks, passenger and crew stairs, maintenance lifts, and aviation fuel carts. Manufacturing floors need epoxy for durability, chemical resistance (oils, fuels), and professional appearance.","2026-02-27"
"Wallace Hyundai","N/A","772-283-6000","N/A","https://www.wallacehyundaiofstuart.com/","3801 SE Federal Hwy, Stuart, FL 34997","Premier Hyundai dealership on Treasure Coast - Large inventory of new Hyundai cars and SUVs with service department. Service floors need epoxy for oil resistance, chemical spills, durability, and professional appearance in service bays.","2026-02-27"
"Wallace Nissan","N/A","772-286-8000","N/A","https://www.wallacenissanofstuart.com/","4313 SE Federal Hwy, Stuart, FL 34997","Premier Nissan dealer - Large inventory of new Nissan cars, SUVs, and trucks with service department. Service floors need epoxy for oil resistance, chemical spills, durability, and professional appearance in service bays.","2026-02-27"
"Wallace Genesis","N/A","772-781-6200","N/A","https://www.wallacegenesis.com/","3801 SE Federal Hwy, Ste F, Stuart, FL 34997","Genesis luxury dealership - Serving Stuart and Palm City with new Genesis vehicles and top-notch service center. Service floors need epoxy for durability, oil resistance, and high-end professional appearance.","2026-02-27"
"Coggin BMW Treasure Coast","N/A","772-742-5582","N/A","https://www.cogginbmw.com/","4429 S US Highway 1, Fort Pierce, FL 34982","Luxury BMW dealership - One of highest-rated and most admired auto dealers in Fort Pierce. Major focus on consumer service and satisfaction. Service floors need epoxy for durability, oil resistance, and high-end professional appearance.","2026-02-27"
"Planet Fitness (Town Centre)","N/A","772-446-9049","N/A","https://www.planetfitness.com/","10139 S Federal Hwy, Port St. Lucie, FL 34952","Fitness center chain - Large gym facility with cardio equipment, free weights, and training areas. Gym floors need epoxy for durability, chemical resistance (sweat, cleaning chemicals), and professional appearance in high-traffic workout areas.","2026-02-27"
"Planet Fitness (Darwin)","N/A","772-807-1290","N/A","https://www.planetfitness.com/","3225 SW Port St Lucie Blvd, Port St. Lucie, FL 34953","Fitness center chain - Large gym facility with cardio equipment, free weights, and training areas. Gym floors need epoxy for durability, chemical resistance (sweat, cleaning chemicals), and professional appearance in high-traffic workout areas.","2026-02-27"
"Planet Fitness (Fort Pierce)","N/A","N/A","N/A","https://www.planetfitness.com/","4933 S US Highway 1, Fort Pierce, FL 34982","Fitness center chain - Large gym facility with cardio equipment, free weights, and training areas. Gym floors need epoxy for durability, chemical resistance (sweat, cleaning chemicals), and professional appearance in high-traffic workout areas.","2026-02-27"
"LA Fitness","N/A","772-224-3950","N/A","https://www.lafitness.com/","1367 NW Saint Lucie West Blvd, Port St. Lucie, FL 34986","Premier health club chain - Spacious gym facility with state-of-the-art equipment, free-weight area, group fitness classes, and kids club. Gym floors need epoxy for durability, chemical resistance (sweat, cleaning chemicals), and professional appearance.","2026-02-27"
"Drexel Metals","N/A","N/A","N/A","https://www.drexmet.com/","Port St. Lucie, FL 34987","Architectural standing seam metal roofing manufacturer - Prefabricates metal roofing systems for commercial, institutional, and residential applications. Offers field-fabrication program. Manufacturing facility floors need epoxy for durability, chemical resistance and professional appearance.","2026-02-27"
"Allied Universal Corporation","N/A","N/A","N/A","https://www.allieduniversal.com/","Fort Pierce, FL","Regional powerhouse in water treatment chemical and swimming pool industry - Fort Pierce location seeking Class A CDL drivers with tanker/hazmat endorsements. Chemical facility floors need epoxy for durability, chemical resistance, and safety.","2026-02-27"
"Chemical Technologies Holding","N/A","N/A","careers@chemtechholding.com","https://www.chemtechholding.com/","Commercial Circle, Fort Pierce, FL 34982","Lumber treatment manufacturer - Opened flagship lumber treatment plant in Fort Pierce in 2022. Manufactures lumber treatments for construction industry. Manufacturing floors need epoxy for durability, chemical resistance (preservatives), and safety.","2026-02-27"
"Supermix","N/A","N/A","N/A","https://www.supermix.com/","Glades Cut Off Road, Fort Pierce, FL","Cement and concrete manufacturer - Operates throughout South Florida and Treasure Coast. Manufactures cement, mortars, wall reinforcements, concrete masonry block, and more. Manufacturing floors need epoxy for durability, chemical resistance (concrete), and professional appearance.","2026-02-27"
"Tropicana (Fort Pierce Distribution)","N/A","N/A","N/A","https://www.tropicanabrandsgroup.com/","Fort Pierce, FL 34982","Packaging and distribution center - While no longer making orange juice, the facility is still an important part of Tropicana's packaging and distribution operations. Global footprint of over 2,000 associates. Distribution floors need epoxy for durability and professional appearance.","2026-02-27"
"LactaLogics, Inc.","Steven White (Operations Lead)","N/A","info@lactalogics.com","https://lactalogics.com/","8883 S US Highway 1, Port Saint Lucie, FL 34952","Human milk processing facility - 71,000-square-foot state-of-the-art human milk processing facility opening in 2025. $92 million funding for facility implementation. Mission-driven company dedicated to bringing more human milk to babies in hospital NICUs. Food processing floors need epoxy for durability, chemical resistance, food safety compliance, and easy maintenance in high-traffic food handling areas.","2026-02-27"
"Costco Depot (Port St. Lucie)","N/A","N/A","N/A","https://www.costco.com","Legacy Park at Tradition, Port St. Lucie, FL 34987","Costco distribution depot - First phase: 595,000-square-foot cold- and dry-storage facility. Second phase: 1.06-million-square-foot dry goods distribution center. Total: 1.87 million sq ft. Employing 500+ people. Located off Interstate 95 and Southwest Becker Road. Expected to be main distributor for all of Florida's Costco stores. Distribution floors need epoxy for durability, chemical resistance, and maintenance of high-traffic areas.","2026-02-27"
"Sansone Group Cold Storage Facility","N/A","N/A","N/A","N/A","Port St. Lucie, FL 34987","Cold storage warehouse - 380,000-square-foot cold storage warehouse facility being constructed by Sansone Group and Victory Construction on fifteen acres of land. Industrial floors need epoxy for durability, chemical resistance, and professional appearance in refrigerated environments.","2026-02-27"
"Apple Machine & Supply Co.","N/A","N/A","N/A","https://applemachineandsupply.com","Fort Pierce, FL 34945","Metal supply and fabrication - Offers metal supply, custom metal fabrication, laser cutting, CNC milling, and engineering services. Serving construction and industrial clients in Treasure Coast and Florida. Manufacturing facility floors need epoxy for durability, chemical resistance (metalworking fluids), and professional appearance.","2026-02-27"
"C2 Welding, Inc.","N/A","N/A","N/A","https://c2welding.com/","Fort Pierce, FL 34945","Specialized welding and fabrication - Family-owned business specializing in everything from stainless steel piping to vacuum jacketed piping for cryogenic systems. Fabrication facility floors need epoxy for durability, chemical resistance (welding materials), and professional appearance.","2026-02-27"
"Custom Welding Diversified","N/A","N/A","N/A","N/A","1983 SW Biltmore St, Port Saint Lucie, FL 34953","Welding and metal fabrication - Established in 1992, specializing in welding of aluminum, steel, and stainless steel. Offers small repairs such as patio chairs, trailer repairs, parts, and wiring. Fabrication facility floors need epoxy for durability, chemical resistance (welding materials), and easy maintenance.","2026-02-27"
"Colonial Metalworks","N/A","N/A","N/A","N/A","Fort Pierce, FL 34945","Custom metal fabrication - Provides architectural and industrial fabrication services. Metal fabrication facility floors need epoxy for durability, chemical resistance (metalworking fluids), and professional appearance.","2026-02-27"
"Performance Sheet Metal","N/A","N/A","N/A","https://performancesheetmetal.com/","Fort Pierce, FL 34945","Architectural and industrial fabrication - Brings designs to life with high standards of workmanship. Offers creative problem-solving and adds value through design. Fabrication facility floors need epoxy for durability, chemical resistance, and professional appearance.","2026-02-27"
"Speed Commerce","N/A","N/A","N/A","https://www.speedcommerce.com/","Port St. Lucie, FL 34953","Third-party logistics (3PL) solutions - Leading provider of order fulfillment and 3PL solutions helping businesses of all sizes streamline operations. Warehousing and fulfillment facility floors need epoxy for durability, chemical resistance, and maintenance of high-traffic areas.","2026-02-27"
"Lincoln Distribution","N/A","N/A","N/A","N/A","Port St. Lucie, FL 34953","E-commerce fulfillment solution - Provides reliable ecommerce fulfillment solution for businesses. Warehousing and distribution facility floors need epoxy for durability, chemical resistance, and maintenance of high-traffic package handling areas.","2026-02-27"
"Harbor Place at Port St. Lucie","Ffion Clarke (Executive Director)","N/A","N/A","https://www.centurypa.com/senior-living/harbor-place-port-st-lucie/","Port St. Lucie, FL 34952","Assisted and independent living community - Large senior living community with assisted living and independent living options. Features 24/7 staffing, health and well-being monitoring, social activities, heated outdoor swimming pool and hot tub, scheduled transportation, meals, laundry, housekeeping, and linen services. Facility floors need epoxy for durability, chemical resistance (cleaning agents), infection control, and easy maintenance.","2026-02-27"
"Wallace Cadillac","N/A","772-286-3555","N/A","https://www.wallacecadillacofstuart.com/","3555 SE Federal Hwy, Stuart, FL 34997","Luxury Cadillac dealership serving Stuart, Jupiter, Okeechobee, Palm City, Port St. Lucie, Vero Beach and surrounding areas. New and used Cadillac sales with large service center. Service floors need epoxy for durability, oil resistance, chemical spills, and professional appearance in service bays.","2026-02-27"
"Wallace Lincoln","N/A","772-461-6060","donkulcsar@wallaceautogroup.com","https://www.wallacelincoln.com/","5555 South US Highway 1, Fort Pierce, FL 34982","Premier Lincoln dealership serving Jupiter, Stuart, Port St. Lucie, Vero Beach and surrounding Treasure Coast areas. Large inventory of new Lincoln vehicles with service department. Service floors need epoxy for durability, oil resistance, chemical spills, and professional appearance.","2026-02-27"
