"Phoenix Metal Products, Inc.","N/A","772-595-6386","nicole.mcguire@earthlink.net","https://www.phoenixgse.com/","3000 Industrial Ave, Fort Pierce, FL 34946","Airline ground support equipment manufacturer - Worldwide manufacturer of airline and airport ground support equipment including lavatory and water trucks, passenger and crew stairs, maintenance lifts, and aviation fuel carts. Manufacturing floors need epoxy for durability, chemical resistance (oils, fuels), and professional appearance.","2026-02-27"
"Wallace Hyundai","N/A","772-283-6000","N/A","https://www.wallacehyundaiofstuart.com/","3801 SE Federal Hwy, Stuart, FL 34997","Premier Hyundai dealership on Treasure Coast - Large inventory of new Hyundai cars and SUVs with service department. Service floors need epoxy for oil resistance, chemical spills, durability, and professional appearance in service bays.","2026-02-27"
"Wallace Nissan","N/A","772-286-8000","N/A","https://www.wallacenissanofstuart.com/","4313 SE Federal Hwy, Stuart, FL 34997","Premier Nissan dealer - Large inventory of new Nissan cars, SUVs, and trucks with service department. Service floors need epoxy for oil resistance, chemical spills, durability, and professional appearance in service bays.","2026-02-27"
"Wallace Genesis","N/A","772-781-6200","N/A","https://www.wallacegenesis.com/","3801 SE Federal Hwy, Ste F, Stuart, FL 34997","Genesis luxury dealership - Serving Stuart and Palm City with new Genesis vehicles and top-notch service center. Service floors need epoxy for durability, oil resistance, and high-end professional appearance.","2026-02-27"
"Coggin BMW Treasure Coast","N/A","772-742-5582","N/A","https://www.cogginbmw.com/","4429 S US Highway 1, Fort Pierce, FL 34982","Luxury BMW dealership - One of highest-rated and most admired auto dealers in Fort Pierce. Major focus on consumer service and satisfaction. Service floors need epoxy for durability, oil resistance, and high-end professional appearance.","2026-02-27"
"Planet Fitness (Town Centre)","N/A","772-446-9049","N/A","https://www.planetfitness.com/","10139 S Federal Hwy, Port St. Lucie, FL 34952","Fitness center chain - Large gym facility with cardio equipment, free weights, and training areas. Gym floors need epoxy for durability, chemical resistance (sweat, cleaning chemicals), and professional appearance in high-traffic workout areas.","2026-02-27"
"Planet Fitness (Darwin)","N/A","772-807-1290","N/A","https://www.planetfitness.com/","3225 SW Port St Lucie Blvd, Port St. Lucie, FL 34953","Fitness center chain - Large gym facility with cardio equipment, free weights, and training areas. Gym floors need epoxy for durability, chemical resistance (sweat, cleaning chemicals), and professional appearance in high-traffic workout areas.","2026-02-27"
"Planet Fitness (Fort Pierce)","N/A","N/A","N/A","https://www.planetfitness.com/","4933 S US Highway 1, Fort Pierce, FL 34982","Fitness center chain - Large gym facility with cardio equipment, free weights, and training areas. Gym floors need epoxy for durability, chemical resistance (sweat, cleaning chemicals), and professional appearance in high-traffic workout areas.","2026-02-27"
"LA Fitness","N/A","772-224-3950","N/A","https://www.lafitness.com/","1367 NW Saint Lucie West Blvd, Port St. Lucie, FL 34986","Premier health club chain - Spacious gym facility with state-of-the-art equipment, free-weight area, group fitness classes, and kids club. Gym floors need epoxy for durability, chemical resistance (sweat, cleaning chemicals), and professional appearance.","2026-02-27"
"Drexel Metals","N/A","N/A","N/A","https://www.drexmet.com/","Port St. Lucie, FL 34987","Architectural standing seam metal roofing manufacturer - Prefabricates metal roofing systems for commercial, institutional, and residential applications. Offers field-fabrication program. Manufacturing facility floors need epoxy for durability, chemical resistance, and professional appearance.","2026-02-27"
"Allied Universal Corporation","N/A","N/A","N/A","https://www.allieduniversal.com/","Fort Pierce, FL","Regional powerhouse in water treatment chemical and swimming pool industry - Fort Pierce location seeking Class A CDL drivers with tanker/hazmat endorsements. Chemical facility floors need epoxy for durability, chemical resistance, and safety.","2026-02-27"
"Chemical Technologies Holding","N/A","N/A","careers@chemtechholding.com","https://www.chemtechholding.com/","Commercial Circle, Fort Pierce, FL 34982","Lumber treatment manufacturer - Opened flagship lumber treatment plant in Fort Pierce in 2022. Manufactures lumber treatments for construction industry. Manufacturing floors need epoxy for durability, chemical resistance (preservatives), and safety.","2026-02-27"
"Supermix","N/A","N/A","N/A","https://www.supermix.com/","Glades Cut Off Road, Fort Pierce, FL","Cement and concrete manufacturer - Operates throughout South Florida and Treasure Coast. Manufactures cement, mortars, wall reinforcements, concrete masonry block, and more. Manufacturing floors need epoxy for durability, chemical resistance (concrete), and professional appearance.","2026-02-27"
"Tropicana (Fort Pierce Distribution)","N/A","N/A","N/A","https://www.tropicanabrandsgroup.com/","Fort Pierce, FL 34982","Packaging and distribution center - While no longer making orange juice, the facility is still an important part of Tropicana's packaging and distribution operations. Global footprint of over 2,000 associates. Distribution floors need epoxy for durability and professional appearance.","2026-02-27"
