Business Name,URL,Snippet,Source Query
Holiday Inn Express Port St Lucie,https://www.ihg.com/holidayinnexpress/hotels/us/en/port-st-lucie/pslxm/hoteldetail,"Official site of Holiday Inn Express Port St Lucie Tradition. Stay Smart, rest, and recharge at Holiday Inn Express.",hotels Port St Lucie FL
Courtyard Vero Beach,https://www.marriott.com/hotels/travel/vrbcy-courtyard-vero-beach-oceanfront/,"Oceanfront hotel in Vero Beach FL. Direct beach access, outdoor pool, on-site dining. Near Vero Beach Museum of Art.",hotels Vero Beach FL
Holiday Inn Resort Vero Beach,https://www.ihg.com/holidayinnresorts/hotels/us/en/vero-beach/vrbxw/hoteldetail,"Beachfront resort in Vero Beach FL. Direct beach access, multiple pools, restaurants. Near John's Island.",hotels Vero Beach FL
Hampton Inn & Suites Vero Beach,https://www.hilton.com/en/hotels/fl/vrbhx-hampton-inn-and-suites-vero-beach/,"Hotel in Vero Beach FL. Free breakfast, outdoor pool, fitness center. Near Indian River Mall and beaches.",hotels Vero Beach FL
SpringHill Suites Vero Beach,https://www.marriott.com/hotels/travel/vrbys-springhill-suites-vero-beach/,"Extended stay hotel in Vero Beach FL. Suites with kitchenettes, outdoor pool, free breakfast. Near I-95 and beaches.",hotels Vero Beach FL
Country Inn & Suites by Radisson Vero Beach,https://www.countryinns.com/vero-beach-fl-hotel/fl001,"Hotel in Vero Beach FL. Free breakfast, outdoor pool, fitness center. Near Vero Beach Regional Airport.",hotels Vero Beach FL
Hampton Inn Fort Pierce,https://www.hilton.com/en/hotels/fl/fpihx-hampton-inn-fort-pierce/,"Hotel in Fort Pierce FL. Free breakfast, outdoor pool, fitness center. Near Fort Pierce Inlet and beaches.",hotels Fort Pierce FL
SpringHill Suites Fort Pierce,https://www.marriott.com/hotels/travel/fpiss-springhill-suites-fort-pierce/,"Extended stay hotel in Fort Pierce FL. Suites with kitchenettes, outdoor pool, free breakfast. Near Treasure Coast Square Mall.",hotels Fort Pierce FL
Best Western Plus Fort Pierce,https://www.bestwestern.com/en_US/book/hotel-details.40447.html,"Hotel in Fort Pierce FL. Free breakfast, outdoor pool, fitness center. Near Fort Pierce Jetty and beaches.",hotels Fort Pierce FL
Disney's Vero Beach Resort,https://disneyvacationclub.disney.go.com/destinations/vero-beach/,"Disney Vacation Club resort in Vero Beach FL. Beachfront villas, pools, restaurants, activities. Family-friendly resort.",resorts Treasure Coast FL
Ocean Village Resort,https://www.oceanvillageresort.com/,"Beachfront resort in Vero Beach FL. Condo rentals, oceanfront pools, beach access. Family-friendly resort.",resorts Treasure Coast FL
Captain Hirams Resort,https://www.captainhirams.com/,"Waterfront resort in Sebastian FL. Marina, restaurants, tiki bar, live music. Waterfront lodging.",hotels Hobe Sound FL
Sebastian Inlet State Park,https://www.floridastateparks.org/parks-and-trails/sebastian-inlet-state-park,"State park with cabins, camping, fishing, surfing. Near Sebastian and Vero Beach.",hotels Hobe Sound FL
Crown Plaza Melbourne Oceanfront,https://www.ihg.com/crowneplaza/hotels/us/en/melbourne/mlbcp/hoteldetail,"Oceanfront hotel in Melbourne FL (near Treasure Coast). Beach access, pools, restaurants. Near Vero Beach.",hotels Sebastian FL
